"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","museefrancoamericain.fr/87.252.7.122","443","INFO","HTTP","",""
"pre_128cipher","museefrancoamericain.fr/87.252.7.122","443","INFO","No 128 cipher limit bug","",""
"SSLv2","museefrancoamericain.fr/87.252.7.122","443","OK","not offered","",""
"SSLv3","museefrancoamericain.fr/87.252.7.122","443","OK","not offered","",""
"TLS1","museefrancoamericain.fr/87.252.7.122","443","INFO","not offered","",""
"TLS1_1","museefrancoamericain.fr/87.252.7.122","443","INFO","not offered","",""
"TLS1_2","museefrancoamericain.fr/87.252.7.122","443","OK","offered","",""
"TLS1_3","museefrancoamericain.fr/87.252.7.122","443","OK","offered with final","",""
"ALPN_HTTP2","museefrancoamericain.fr/87.252.7.122","443","OK","h2","",""
"ALPN","museefrancoamericain.fr/87.252.7.122","443","INFO","http/1.1","",""
"cipherlist_NULL","museefrancoamericain.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","museefrancoamericain.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","museefrancoamericain.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_LOW","museefrancoamericain.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","museefrancoamericain.fr/87.252.7.122","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","museefrancoamericain.fr/87.252.7.122","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","museefrancoamericain.fr/87.252.7.122","443","INFO","not offered","",""
"cipherlist_STRONG_FS","museefrancoamericain.fr/87.252.7.122","443","OK","offered","",""
"cipher_order-tls1_2","museefrancoamericain.fr/87.252.7.122","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","museefrancoamericain.fr/87.252.7.122","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","museefrancoamericain.fr/87.252.7.122","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","museefrancoamericain.fr/87.252.7.122","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","museefrancoamericain.fr/87.252.7.122","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","museefrancoamericain.fr/87.252.7.122","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","museefrancoamericain.fr/87.252.7.122","443","INFO","NOT a cipher order configured","",""
"FS","museefrancoamericain.fr/87.252.7.122","443","OK","offered","",""
"FS_ciphers","museefrancoamericain.fr/87.252.7.122","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","museefrancoamericain.fr/87.252.7.122","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","museefrancoamericain.fr/87.252.7.122","443","INFO","'server name/#0' 'supported_groups/#10' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","museefrancoamericain.fr/87.252.7.122","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","museefrancoamericain.fr/87.252.7.122","443","INFO","yes","",""
"sessionresumption_ticket","museefrancoamericain.fr/87.252.7.122","443","INFO","supported","",""
"sessionresumption_ID","museefrancoamericain.fr/87.252.7.122","443","INFO","not supported","",""
"TLS_timestamp","museefrancoamericain.fr/87.252.7.122","443","INFO","random","",""
